ID,Name,All Deaths,"All Causes - Age-adjusted Death Rate (per 1,000)",Heart Disease - Number of deaths,Heart Disease - Age-adjusted Death Rate,Cancer - Number of deaths,Cancer - Age-adjusted Death Rate,Flu/pneumonia - Number of deaths,Flu/pneumonia - Age-adjusted Death Rate,Diabetes Mellitus  - Number of deaths,Diabetes Mellitus - Age-adjusted Death Rate,Lower respiratory diseases - Number of deaths,Lower Respiratory Diseases Age-adjusted Death Rate,Stroke - Number of deaths,Stroke - Age-adjusted Death Rate,Accidents - excluding drug poisoning - Number of deaths,Accidents excluding Drug Poisoning - Age-adjusted Death Rate,Hypertension - Number of deaths,Hypertension - Age-adjusted Death Rate,Drug related  - Number of deaths,Drug-related - Age-adjusted Death Rate,HIV  - Number of deaths,HIV - Age-adjusted Death Rate,Alzeheimer's disease - Number of deaths,Alzheimer's Disease - Age-adjusted Death Rate,Liver disease - Number of deaths,Liver Disease - Age-adjusted Death Rate,Suicide - Number of deaths,Suicide - Age-adjusted Death Rate,Homicide - Number of deaths,Homicide - Age-adjusted Death Rate,Nephritis - Number of deaths,Nephritis - Age-adjusted Death Rate,Septicemia - Number of deaths,Septicemia - Age-adjusted Death Rate,Viral Hepatitis  - Number of deaths,Viral hepatitis - Age-adjusted Death Rate,Atherosclerosis  - Number of deaths,Athersclerosis - Age-adjusted Death Rate
0,NYC,264108,6.1,88407,202.6,66723,156.7,11944,27.4,8828,20.6,8508,19.8,8135,18.8,5024,11.8,4985,11.4,3805,8.6,3719,8.4,,,,,,,,,,,,,,,,
1,Manhattan,47407,5.2,13989,151.4,12422,140.1,2040,21.9,1370,15.3,1619,17.8,1683,18.3,828,9.5,991,10.7,,,779,8.9,950,9.8,,,,,,,,,,,,,,
2,Bronx,43266,6.7,13474,210.4,9868,154.1,2053,32.1,1663,26.1,1591,24.9,1273,19.8,783,11.7,875,13.7,897,12.8,1155,16.6,,,,,,,,,,,,,,,,
3,Brooklyn,76302,6,27021,212.2,18424,147.3,3768,29.5,3003,24,2223,17.7,2292,18.1,1289,10.1,1589,12.5,899,6.8,1122,8.5,,,,,,,,,,,,,,,,
4,Queens,60728,4.9,22686,178.4,14430,117.5,2847,22.3,1893,15.3,1959,15.8,1944,15.4,1222,10.1,1070,8.4,,,,,740,5.6,,,673,5.6,,,,,,,,,,
5,Staten Island,16611,6.5,6623,257,4009,155.3,710,27.9,536,20.7,728,28.6,408,15.9,350,14.1,191,7.4,336,13.7,,,,,,,138,5.6,,,,,,,,,,
101,Financial District,840,4.1,219,109,231,119.8,43,21.5,21,9.8,26,14.1,38,18.8,16,6.7,17,9,13,4,,,23,10.9,,,,,,,,,,,,,,
102,Greenwich Village and Soho,2103,4.3,612,125.3,639,131.3,81,16.6,44,9,78,16.1,69,14.2,40,8.1,,,35,6.8,,,36,7.3,,,32,6.3,,,,,,,,,,
103,Lower East Side and Chinatown,5741,5.7,1629,155.6,1431,148.9,257,23.7,203,20.8,214,20.7,255,24.7,112,11.7,111,10.5,82,9.1,109,12,,,,,,,,,,,,,,,,
104,Clinton and Chelsea,2680,5.2,784,155,689,134.8,108,21.6,69,13.6,89,17.8,92,17.8,67,13.4,52,10.2,60,9,,,52,10.5,,,55,9.1,,,,,,,,,,
105,Midtown,1099,4.5,331,134.9,333,132.7,41,16.6,,,38,15.5,26,10.7,18,6.9,14,5.7,21,7.8,16,6.3,,,,,32,11.6,,,,,,,,,,
106,Stuyvesant Town and Turtle Bay,3971,4.3,1157,121.2,1207,135.8,156,16.4,72,7.9,132,14.1,131,13.7,80,9.2,72,7.7,,,,,63,6.3,,,50,6.1,,,,,,,,,,
107,Upper West Side,6860,4.8,2146,143.5,1802,127.9,301,20,155,10.9,217,14.7,248,16.6,107,8.3,124,8.2,,,80,6.1,177,11.2,,,,,,,,,,,,,,
